trade,date,symbol,category,entryPrice
181,2026-02-24,ITETF,TECHNOLOGY_IT,31.63
182,2026-02-26,MON100,GLOBAL,227.13
183,2026-02-27,MOREALTY,INFRA_REALTY,78.17
184,2026-03-02,ITETF,TECHNOLOGY_IT,31.85
185,2026-03-04,MAHKTECH,GLOBAL,23.22
186,2026-03-05,TATSILV,SILVER,25.25
187,2026-03-06,MAHKTECH,GLOBAL,22.82
188,2026-03-09,MOREALTY,INFRA_REALTY,73.17
189,2026-03-10,IT,BROAD_MARKET,33.08
190,2026-03-11,ITETF,TECHNOLOGY_IT,31.14
191,2026-03-12,MAHKTECH,GLOBAL,22.99
192,2026-03-13,SILVERCASE,SILVER,25.95
193,2026-03-16,GOLDIETF,GOLD,131.33
194,2026-03-17,IT,BROAD_MARKET,31.72
195,2026-03-19,ITETF,TECHNOLOGY_IT,30.07
196,2026-03-20,SILVERAG,SILVER,223.96
197,2026-03-23,LICMFGOLD,GOLD,121.1
198,2026-03-27,MOREALTY,INFRA_REALTY,66.99
199,2026-03-30,INTERNET,BROAD_MARKET,10.81
200,2026-04-02,PVTBANIETF,BANKING_FINANCIAL,24.87
201,2026-04-06,OILIETF,ENERGY_POWER,10.87
202,2026-04-09,BANKIETF,BANKING_FINANCIAL,56.08
203,2026-04-13,OILIETF,ENERGY_POWER,11.19
204,2026-04-23,AONESILVER,SILVER,9.17
205,2026-04-28,HDFCSILVER,SILVER,224.52
206,2026-04-29,HDFCGOLD,GOLD,125.51
207,2026-05-04,GOLD1,GOLD,123.38
208,2026-05-11,SBIBPB,BANKING_FINANCIAL,47.32
209,2026-05-13,ITADD,BROAD_MARKET,29.49
210,2026-05-14,ITBEES,TECHNOLOGY_IT,30.3
211,2026-06-01,PSUBNKBEES,BANKING_FINANCIAL,89.44
212,2026-06-05,ITETF,TECHNOLOGY_IT,30.67
213,2026-06-08,GROWWRAIL,INFRA_REALTY,29.14
214,2026-06-10,GROWWRAIL,INFRA_REALTY,28.96
215,2026-06-11,PSUBNKBEES,BANKING_FINANCIAL,92.73
216,2026-06-19,ITADD,BROAD_MARKET,28.93
217,2026-06-23,SILVERIETF,SILVER,224.83
218,2026-06-24,GROWWRAIL,INFRA_REALTY,29.59
219,2026-06-25,SILVERCASE,SILVER,21.88
220,2026-07-01,METALIETF,METALS_MATERIALS,12.43
221,2026-07-06,AONESILVER,SILVER,8.81
222,2026-07-07,METAL,METALS_MATERIALS,12.7
223,2026-07-08,SILVERCASE,SILVER,22.25
224,2026-07-10,SILVERCASE,SILVER,22.16
225,2026-07-13,HDFCGOLD,GOLD,120.73
226,2026-07-15,METALIETF,METALS_MATERIALS,12.64
227,2026-07-16,HDFCSILVER,SILVER,206.98
228,2026-07-17,GROWWPOWER,ENERGY_POWER,11.69
229,2026-07-23,HDFCSILVER,SILVER,210.98
230,2026-07-28,SILVER1,SILVER,20.94
231,2026-07-30,MON100,GLOBAL,312.19
232,2026-08-03,MOCAPITAL,BROAD_MARKET,52.76
233,2026-08-06,GROWWPOWER,ENERGY_POWER,11.47
234,2026-08-18,FMCGIETF,FMCG_CONSUMPTION,51.35
235,2026-08-19,GROWWPOWER,ENERGY_POWER,11.29
