trade,date,symbol,category,entryPrice
1,2023-09-07,SILVERBEES,SILVER,70.4
2,2023-09-12,MAHKTECH,GLOBAL,14.56
3,2023-09-14,SILVERBEES,SILVER,69.26
4,2023-09-20,MAHKTECH,GLOBAL,14.35
5,2023-09-22,MAFANG,GLOBAL,61.18
6,2023-09-27,MAHKTECH,GLOBAL,13.78
7,2023-10-03,MAHKTECH,GLOBAL,13.88
8,2023-10-13,MAHKTECH,GLOBAL,13.84
9,2023-10-19,MAHKTECH,GLOBAL,13.6
10,2023-10-23,MAHKTECH,GLOBAL,13.12
11,2023-10-26,MID150BEES,BROAD_MARKET,146.09
12,2023-10-27,MAFANG,GLOBAL,59.22
13,2023-11-17,PSUBNKBEES,BANKING_FINANCIAL,56.3
14,2023-12-26,MAHKTECH,GLOBAL,13.07
15,2024-01-02,MAHKTECH,GLOBAL,13.45
16,2024-01-04,MAHKTECH,GLOBAL,13.27
17,2024-01-08,MAHKTECH,GLOBAL,12.75
18,2024-01-17,HNGSNGBEES,GLOBAL,229.41
19,2024-01-23,SILVERBEES,SILVER,69.43
20,2024-01-31,MAHKTECH,GLOBAL,12.61
21,2024-02-08,MAHKTECH,GLOBAL,12.69
22,2024-02-12,BFSI,BANKING_FINANCIAL,20.26
23,2024-02-14,MAHKTECH,GLOBAL,12.69
24,2024-02-21,MAHKTECH,GLOBAL,12.57
25,2024-03-13,HDFCSML250,BROAD_MARKET,137.92
26,2024-03-19,MIDCAPETF,BROAD_MARKET,17.2
27,2024-03-22,ITBEES,TECHNOLOGY_IT,37.41
28,2024-03-27,MAHKTECH,GLOBAL,12.07
29,2024-04-15,ITIETF,TECHNOLOGY_IT,36.48
30,2024-04-16,MAHKTECH,GLOBAL,12.32
31,2024-04-30,ITBEES,TECHNOLOGY_IT,35.25
32,2024-05-03,ITIETF,TECHNOLOGY_IT,34.79
33,2024-05-30,ITIETF,TECHNOLOGY_IT,34.87
34,2024-07-23,SILVERBEES,SILVER,83.51
35,2024-07-24,MAHKTECH,GLOBAL,13.53
36,2024-07-25,SILVERBEES,SILVER,79.87
37,2024-07-30,HDFCSILVER,SILVER,80.17
38,2024-08-01,MONQ50,GLOBAL,63.28
39,2024-08-02,MOREALTY,INFRA_REALTY,104.53
40,2024-08-05,SILVERBEES,SILVER,78.94
41,2024-08-06,PSUBNKBEES,BANKING_FINANCIAL,76.1
42,2024-08-08,SILVERBEES,SILVER,77.35
43,2024-08-12,PSUBNKBEES,BANKING_FINANCIAL,77.09
44,2024-08-21,MOREALTY,INFRA_REALTY,104.2
45,2024-08-23,MOREALTY,INFRA_REALTY,102.2
46,2024-08-26,MAFANG,GLOBAL,94.49
47,2024-08-29,MON100,GLOBAL,158.73
48,2024-09-02,HDFCSILVER,SILVER,81.02
49,2024-09-04,SILVERIETF,SILVER,82.71
50,2024-09-06,PSUBNKBEES,BANKING_FINANCIAL,74.34
51,2024-09-09,CPSEETF,PSU_DEFENCE,96.97
52,2024-09-11,PSUBNKBEES,BANKING_FINANCIAL,72.8
53,2024-10-04,ALPHAETF,FACTOR,27.98
54,2024-10-07,OILIETF,ENERGY_POWER,12.48
55,2024-10-17,OILIETF,ENERGY_POWER,12.21
56,2024-10-18,FMCGIETF,FMCG_CONSUMPTION,64.13
57,2024-10-21,OILIETF,ENERGY_POWER,12.04
58,2024-10-22,MODEFENCE,PSU_DEFENCE,68.95
59,2024-10-24,FMCGIETF,FMCG_CONSUMPTION,61.24
60,2024-10-25,MODEFENCE,PSU_DEFENCE,66.89
