trade,date,symbol,category,entryPrice
121,2025-03-18,MON100,GLOBAL,177.2
122,2025-03-19,ITIETF,TECHNOLOGY_IT,38.98
123,2025-03-25,MOMENTUM50,FACTOR,47.4
124,2025-03-26,MAFANG,GLOBAL,121.63
125,2025-03-27,AUTOIETF,AUTO,21.98
126,2025-03-28,MASPTOP50,GLOBAL,49.44
127,2025-04-01,ITBEES,TECHNOLOGY_IT,38.86
128,2025-04-02,MASPTOP50,GLOBAL,47.68
129,2025-04-03,ITETF,TECHNOLOGY_IT,35.8
130,2025-04-04,MASPTOP50,GLOBAL,45.1
131,2025-04-07,ITIETF,TECHNOLOGY_IT,35.37
132,2025-04-08,MAFANG,GLOBAL,104.64
133,2025-04-09,ITETF,TECHNOLOGY_IT,33.41
134,2025-04-16,MONQ50,GLOBAL,68.63
135,2025-04-22,MONQ50,GLOBAL,67.78
136,2025-04-24,MAHKTECH,GLOBAL,21.56
137,2025-05-08,MAHKTECH,GLOBAL,22
138,2025-05-13,MAHKTECH,GLOBAL,22.62
139,2025-05-15,SILVERCASE,SILVER,9.71
140,2025-07-14,MAHKTECH,GLOBAL,21.3
141,2025-07-17,MODEFENCE,PSU_DEFENCE,91.73
142,2025-07-23,MOREALTY,INFRA_REALTY,97.01
143,2025-07-24,ITETF,TECHNOLOGY_IT,37.47
144,2025-07-25,MODEFENCE,PSU_DEFENCE,87.84
145,2025-07-28,MOREALTY,INFRA_REALTY,91.39
146,2025-08-01,MODEFENCE,PSU_DEFENCE,83.67
147,2025-08-06,ITBEES,TECHNOLOGY_IT,37.61
148,2025-08-08,MODEFENCE,PSU_DEFENCE,83.58
149,2025-08-14,METALIETF,METALS_MATERIALS,9.26
150,2025-08-19,MODEFENCE,PSU_DEFENCE,84.9
151,2025-08-26,MODEFENCE,PSU_DEFENCE,82.67
152,2025-08-28,SMALLCAP,BROAD_MARKET,44.16
153,2025-08-29,ECAPINSURE,BANKING_FINANCIAL,22.36
154,2025-09-04,MODEFENCE,PSU_DEFENCE,82.95
155,2025-09-05,ITBEES,TECHNOLOGY_IT,37.85
156,2025-11-06,GROWWRAIL,INFRA_REALTY,34.34
157,2025-11-18,MAHKTECH,GLOBAL,26.66
158,2025-11-20,MAHKTECH,GLOBAL,25.81
159,2025-11-25,MAHKTECH,GLOBAL,24.9
160,2025-12-08,GROWWRAIL,INFRA_REALTY,32.56
161,2025-12-09,GROWWPOWER,ENERGY_POWER,9.67
162,2025-12-16,MODEFENCE,PSU_DEFENCE,81.85
163,2025-12-29,GROWWPOWER,ENERGY_POWER,9.68
164,2026-01-02,FMCGIETF,FMCG_CONSUMPTION,56.85
165,2026-01-09,FMCGIETF,FMCG_CONSUMPTION,56.14
166,2026-01-12,MOREALTY,INFRA_REALTY,86.44
167,2026-01-16,GROWWPOWER,ENERGY_POWER,9.45
168,2026-01-19,MOREALTY,INFRA_REALTY,83.63
169,2026-01-20,FMCGIETF,FMCG_CONSUMPTION,55.4
170,2026-01-21,GROWWSC250,BROAD_MARKET,8.89
171,2026-01-23,MOREALTY,INFRA_REALTY,75.75
172,2026-02-02,FMCGIETF,FMCG_CONSUMPTION,54.06
173,2026-02-06,ITETF,TECHNOLOGY_IT,37.46
174,2026-02-11,ITETF,TECHNOLOGY_IT,36.92
175,2026-02-12,IT,BROAD_MARKET,36.54
176,2026-02-13,ITBEES,TECHNOLOGY_IT,36.11
177,2026-02-17,MASPTOP50,GLOBAL,68.69
178,2026-02-18,ITETF,TECHNOLOGY_IT,34.37
179,2026-02-19,HDFCNIFIT,BROAD_MARKET,34.32
180,2026-02-23,IT,BROAD_MARKET,34.78
